code,name,info,nit,cost
57520-0556,Tempsoft,War inj:incndiary bullet,01B84ZZ,36.00326
41268-175,Ronstring,Diffuse cholesteatosis,0SJB3ZZ,376.03867
68084-251,Veribet,Coag def hemorr-unspec,03790DZ,959.68667
35356-830,Domainer,"Sed,hyp,anxiolytc ab-NOS",0Y9J3ZX,627.93748
49288-0730,Transcof,Wrestling,0MM84ZZ,529.97784
55154-1278,Cardify,Extravstn vesicant chemo,03LT3DZ,466.63093
24658-142,Zaam-Dox,Amniotic embolism-unspec,3E0R3HZ,476.93222
10812-323,Sonair,Alt esotrop w x/y pattrn,03924ZZ,106.02557
11994-016,Ronstring,Congen abn uterus-deliv,0RP10AZ,750.91455
54569-0861,Wrapsafe,Acc pois-oth anti-infect,0RWC34Z,48.53026
16590-375,Job,Periprosthetc osteolysis,0B553ZZ,362.93655
49288-0913,Zathin,Ben carcinoid sig colon,0JCG3ZZ,907.43389
43742-0434,Kanlam,Longitudinal defic foot,0T9340Z,210.96201
49358-547,Andalax,Deformity reconst breast,2W0SX1Z,529.91668
76214-045,Redhold,Ac/subac bact endocard,9WB9XLZ,617.4044
47335-923,Bamity,"Recent detachment, total",0DBF3ZZ,567.86341
63777-217,Bytecard,Hemarthrosis-up/arm,0016371,695.25262
51531-5394,It,Dissociative react NOS,05R607Z,432.87073
49349-842,Bitchip,Acc poison-fusel oil,0RW438Z,217.7852
43857-0236,Bamity,Opn wnd larynx w trachea,04733GZ,61.78613
0054-3185,Bitwolf,Granuloma of conjunctiva,XRG,162.73279
43269-616,Zontrax,Intern organ deficiency,059S4ZX,822.54537
60429-721,Cardguard,Malig melanoma skin NOS,0VWM8KZ,603.16636
13734-014,Solarbreeze,Penetrat wnd orbit w FB,0G5C0ZZ,626.61795
13826-001,Biodex,Extrinsic eustach obstr,041C094,334.10204
0135-0530,Vagram,Convalescence NEC,0HBV8ZZ,304.23027
65597-113,Tempsoft,Atrophic flaccid tympan,021V0JS,280.88119
36800-080,Stronghold,Cl skul base fx-coma NOS,047V366,453.75276
0299-3849,Sonsing,Patulous eustachian tube,03LB0CZ,969.8608
49999-090,Ronstring,Unc behav neo lung,041M4AP,706.1961
59503-2605,Stim,Open wound of ear NOS,0DVF8ZZ,633.39933
10702-029,Fintone,Hyposmolality,0RQRXZZ,551.31272
54879-002,Treeflex,Unsocial unaggress-mod,0RHV08Z,167.63298
57344-136,Bytecard,Multiple nb/sb-nonhosp,06B00ZZ,839.99757
